Index,SentenceStructure,NumIndependentClauses,NumDependentClauses,HasParticipialPhrase,HasHangingParticiple,AvgSentenceLength,SentenceLengthVariance,UsesPassiveVoice,ClauseEmbeddingDepth,TypeTokenRatio,NumIdioms,SentenceStartRepetition
8711,2,10,10,1,0,24.7,62.81,1,1.0,0.62,0,1.0
8712,2,14,11,1,0,28.92,116.42,1,1.0,0.64,0,1.0
8713,2,14,11,1,0,22.36,77.52,1,1.0,0.6,0,1.0
8714,2,21,20,1,0,26.24,91.93,1,1.0,0.6,0,1.0
8715,2,23,10,1,0,26.24,76.86,1,1.0,0.6,0,1.0
8716,2,21,18,1,0,31.54,170.74,1,1.0,0.56,0,1.0
8717,2,7,6,1,0,22.62,85.86,1,1.0,0.61,0,1.0
8718,2,20,19,1,0,28.15,101.04,1,1.0,0.6,0,1.0
8719,2,20,12,1,0,28.81,88.38,1,1.0,0.59,0,1.0
8720,2,16,13,1,0,26.38,56.55,1,1.0,0.63,0,1.0
8721,2,19,13,1,0,27.38,66.82,1,1.0,0.64,0,1.0
8722,3,20,14,1,0,24.12,106.49,1,2.0,0.5,0,0.0
8723,3,39,33,1,0,21.0,233.09,1,3.0,0.46,0,1.0
8724,1,23,2,0,0,15.65,27.19,1,1.0,0.6,0,1.0
8725,3,16,9,1,0,21.63,62.49,1,2.0,0.58,0,1.0
8726,3,23,19,0,0,18.3,59.74,0,2.0,0.55,0,1.0
8727,3,18,8,1,0,19.89,62.43,1,1.0,0.61,0,1.0
8728,3,34,28,1,0,21.82,63.56,1,2.0,0.55,0,1.0
8729,3,9,9,1,0,23.78,48.95,1,2.0,0.54,0,1.0
8730,3,27,15,1,0,19.93,65.63,1,1.0,0.56,0,1.0
8731,3,8,10,1,0,23.38,70.98,1,2.0,0.54,0,1.0
8732,3,20,22,1,0,23.83,55.36,1,2.0,0.64,0,1.0
8733,3,18,16,1,0,25.12,83.01,1,2.0,0.62,0,1.0
8734,3,20,20,1,0,27.28,116.8,1,2.0,0.56,0,1.0
8735,3,22,15,1,0,18.3,41.14,1,1.0,0.57,0,1.0
8736,2,12,9,1,0,20.05,163.14,1,2.0,0.44,0,0.0
8737,2,26,15,1,0,22.46,227.38,1,2.0,0.4,1,0.0
8738,2,19,13,1,0,22.44,188.78,1,2.0,0.42,0,0.0
8739,2,23,12,1,0,20.97,112.55,1,2.0,0.47,0,0.0
8740,2,22,10,1,0,18.69,89.35,0,2.0,0.42,0,0.0
8741,2,11,9,1,0,19.4,57.74,1,2.0,0.41,0,0.0
8742,2,18,19,1,0,25.19,78.96,1,2.0,0.53,0,0.0
8743,2,31,22,1,0,17.74,62.84,1,2.0,0.39,0,0.0
8744,2,20,11,1,0,22.35,67.54,1,2.0,0.42,0,1.0
8745,2,27,16,1,0,20.56,65.27,1,2.0,0.4,0,1.0
8746,2,15,12,1,0,25.56,67.88,1,2.0,0.48,0,0.0
8747,2,17,14,1,0,24.97,50.23,1,2.0,0.51,0,0.0
8748,2,23,15,1,0,18.11,46.11,1,2.0,0.43,0,0.0
8749,2,19,12,1,0,22.55,56.72,1,2.0,0.47,0,0.0
8750,2,15,11,1,0,22.26,98.27,1,2.0,0.46,1,1.0
8751,2,6,7,1,0,24.46,69.06,1,2.0,0.62,0,0.0
8752,2,30,22,1,0,20.73,94.86,1,3.0,0.44,0,1.0
8753,2,10,11,1,0,27.62,67.03,1,2.0,0.64,0,0.0
8754,2,13,11,1,0,28.12,76.89,1,2.0,0.54,0,0.0
8755,2,14,15,1,0,24.17,55.77,1,3.0,0.53,0,1.0
8756,2,9,13,1,0,32.23,50.06,1,3.0,0.54,0,1.0
8757,2,5,3,1,0,26.62,28.21,1,2.0,0.67,0,0.0
8758,2,13,4,0,0,19.88,61.38,1,1.0,0.53,0,0.0
8759,2,5,4,1,0,27.0,50.0,1,2.0,0.64,0,0.0
8760,2,12,5,1,0,21.06,37.56,1,2.0,0.55,0,0.0
8761,2,22,13,1,0,23.43,69.7,1,2.0,0.48,2,1.0
8762,2,6,8,1,0,28.71,37.27,1,2.0,0.6,0,0.0
8763,2,19,9,1,0,24.07,46.23,1,2.0,0.55,0,1.0
8764,2,28,19,1,0,17.9,73.4,1,3.0,0.5,0,1.0
8765,2,17,14,1,0,30.4,144.4,1,3.0,0.5,0,0.0
8766,2,21,16,1,0,29.0,110.4,1,4.0,0.5,0,1.0
8767,2,13,11,1,0,31.6,62.6,1,3.0,0.5,0,1.0
8768,2,31,11,1,0,20.1,56.1,1,3.0,0.4,0,1.0
8769,2,13,8,1,0,28.3,64.9,1,2.0,0.5,0,1.0
8770,2,9,6,0,0,27.9,156.9,1,2.0,0.6,0,0.0
8771,2,23,14,1,0,19.5,48.0,1,3.0,0.5,0,1.0
8772,2,12,4,1,0,31.3,65.2,1,2.0,0.5,0,1.0
8773,2,13,8,1,0,34.1,163.6,1,3.0,0.5,0,1.0
8774,2,32,15,1,0,26.0,103.2,1,3.0,0.4,0,1.0
8775,2,14,7,1,0,25.6,48.0,0,2.0,0.6,0,1.0
8776,2,17,8,1,0,29.1,53.4,1,3.0,0.5,0,1.0
8777,2,38,22,1,0,30.0,119.9,1,3.0,0.4,0,1.0
8778,2,12,15,1,0,27.4,920.5,1,4.0,0.57,3,0.0
8779,2,13,8,1,0,27.3,343.7,1,3.0,0.65,0,0.0
8780,2,18,10,1,0,24.7,388.4,1,3.0,0.65,0,1.0
8781,2,17,13,1,0,23.9,305.4,1,3.0,0.62,3,1.0
8782,2,13,6,0,0,23.2,215.6,1,2.0,0.65,1,1.0
8783,2,10,9,1,0,30.4,430.0,1,3.0,0.61,0,1.0
8784,2,14,10,1,0,26.2,320.5,1,3.0,0.66,0,1.0
8785,2,19,12,1,0,24.7,314.5,1,3.0,0.64,1,1.0
8786,2,7,7,1,0,24.9,129.7,1,3.0,0.68,0,1.0
8787,2,11,14,1,0,32.6,575.7,1,3.0,0.59,0,1.0
8788,2,24,15,1,0,22.0,269.0,1,3.0,0.65,0,1.0
8789,2,18,7,1,0,30.0,427.2,1,2.0,0.61,0,1.0
8790,2,4,4,1,0,40.9,396.2,1,3.0,0.68,0,0.0
8791,2,13,8,1,0,24.1,219.5,1,3.0,0.65,0,1.0
8792,2,14,16,1,0,36.78,305.12,1,3.0,0.57,0,1.0
8793,2,17,14,1,0,31.06,331.64,1,2.0,0.54,1,1.0
8794,2,11,10,1,0,26.43,194.19,1,2.0,0.58,0,1.0
8795,2,10,6,1,0,28.5,112.22,1,1.0,0.68,0,1.0
8796,2,13,7,0,0,34.3,486.11,1,2.0,0.62,0,1.0
8797,2,20,14,0,0,25.56,122.17,1,1.0,0.51,0,1.0
8798,2,6,5,1,0,29.5,115.5,1,1.0,0.62,0,1.0
8799,2,16,10,1,0,34.0,130.46,1,2.0,0.68,0,1.0
8800,2,19,19,1,0,34.29,108.93,1,3.0,0.61,0,1.0
8801,2,14,14,1,0,35.93,132.72,1,2.0,0.65,2,1.0
8802,2,8,9,1,0,29.29,116.45,1,2.0,0.65,0,1.0
8803,2,12,18,1,0,34.27,100.67,1,3.0,0.65,0,1.0
8804,2,17,16,1,0,37.58,139.59,1,2.0,0.62,0,1.0
8805,2,16,11,1,0,38.93,141.92,1,2.0,0.62,0,1.0
8806,2,10,17,1,0,25.21,224.27,1,4.0,0.49,1,1.0
8807,2,15,17,1,0,24.53,226.77,1,3.0,0.55,2,1.0
8808,2,20,16,1,0,24.03,170.84,1,3.0,0.52,1,1.0
8809,2,11,5,0,0,20.5,49.5,0,2.0,0.72,0,1.0
8810,2,10,13,1,0,22.96,143.19,1,3.0,0.54,1,1.0
8811,2,12,4,1,0,19.06,34.92,1,2.0,0.66,1,1.0
8812,2,14,17,1,0,22.03,114.03,1,3.0,0.53,1,1.0
8813,2,14,16,1,0,22.52,111.38,1,3.0,0.56,1,1.0
8814,2,20,14,1,0,22.32,103.69,1,3.0,0.51,1,1.0
8815,2,13,17,1,0,21.83,40.64,1,3.0,0.52,0,1.0
8816,2,12,17,1,0,24.97,119.49,1,3.0,0.56,1,1.0
8817,2,12,19,1,0,24.74,146.63,1,3.0,0.53,1,1.0
8818,2,16,14,1,0,24.17,128.07,1,3.0,0.53,0,1.0
8819,2,11,8,1,0,22.05,45.01,1,2.0,0.66,0,1.0
8820,2,28,14,1,0,23.14,128.57,1,2.0,0.52,1,1.0
8821,2,21,15,1,0,33.03,306.05,1,2.0,0.57,0,1.0
8822,2,15,11,1,0,31.08,173.51,1,2.0,0.65,0,1.0
8823,2,16,12,1,0,41.04,185.86,1,2.0,0.68,0,1.0
8824,2,12,8,1,0,32.1,205.49,1,2.0,0.63,0,1.0
8825,2,5,4,1,0,46.67,134.22,1,1.0,0.78,0,0.0
8826,2,23,6,1,0,21.38,70.35,1,1.0,0.67,0,0.0
8827,2,18,2,0,0,24.8,78.16,1,1.0,0.74,0,0.0
8828,2,19,11,1,0,45.6,143.16,1,2.0,0.64,0,1.0
8829,2,10,3,1,0,26.46,60.98,1,1.0,0.75,0,1.0
8830,2,18,9,1,0,26.63,70.6,1,1.0,0.65,0,1.0
8831,2,18,9,1,0,41.81,96.56,1,2.0,0.77,0,1.0
8832,2,20,6,1,0,25.69,87.43,1,1.0,0.73,0,1.0
8833,2,23,10,1,0,33.61,83.09,1,1.0,0.7,0,1.0
8834,2,7,3,1,0,33.4,361.04,1,2.0,0.54,0,1.0
8835,2,20,9,1,0,23.55,254.31,1,1.0,0.61,0,1.0
8836,2,16,11,1,0,25.93,155.92,1,3.0,0.59,0,1.0
8837,2,17,12,1,0,32.17,236.28,1,2.0,0.66,0,0.0
8838,2,11,7,0,0,25.06,208.71,1,2.0,0.66,0,0.0
8839,2,21,22,1,0,29.28,283.46,1,2.0,0.5,0,1.0
8840,2,15,9,1,0,23.5,161.49,1,2.0,0.62,0,1.0
8841,2,13,16,1,0,35.17,298.97,1,3.0,0.65,0,1.0
8842,2,17,9,1,0,24.31,156.42,1,1.0,0.6,0,1.0
8843,2,10,6,1,0,28.31,149.23,0,2.0,0.6,0,1.0
8844,2,14,18,1,0,38.78,280.92,1,3.0,0.62,0,1.0
8845,2,24,14,1,0,30.37,284.48,1,2.0,0.65,0,1.0
8846,2,27,22,1,0,26.37,220.66,1,3.0,0.54,0,1.0
8847,2,33,22,1,0,32.65,262.14,1,3.0,0.5,0,1.0
8848,2,10,10,1,1,17.8,172.76,1,1.0,0.47,1,1.0
8849,2,14,7,1,0,20.43,118.45,1,1.0,0.49,0,1.0
8850,2,10,17,1,0,27.26,184.79,1,2.0,0.42,0,1.0
8851,2,11,11,1,0,18.73,141.51,1,1.0,0.52,0,1.0
8852,2,17,21,1,0,22.92,175.94,1,2.0,0.39,0,1.0
8853,2,13,19,1,0,21.5,85.56,1,2.0,0.46,1,1.0
8854,2,14,14,1,0,26.36,115.23,1,2.0,0.44,0,1.0
8855,2,16,17,1,0,23.48,78.41,1,2.0,0.41,0,1.0
8856,2,12,17,1,0,24.83,120.94,1,2.0,0.47,0,1.0
8857,2,21,17,1,0,18.11,69.78,1,1.0,0.47,0,1.0
8858,2,11,18,1,0,26.52,124.46,1,2.0,0.47,0,1.0
8859,2,15,9,1,0,19.63,81.68,1,1.0,0.53,0,1.0
8860,2,13,11,1,0,19.5,61.57,1,1.0,0.56,0,1.0
8861,2,17,9,1,0,21.69,81.16,1,1.0,0.48,0,1.0
8862,2,16,9,1,0,21.88,165.04,1,2.0,0.47,0,1.0
8863,2,23,17,1,0,25.6,212.02,1,2.0,0.46,0,1.0
8864,2,19,15,1,0,25.09,126.55,1,2.0,0.46,0,1.0
8865,2,34,22,1,0,20.32,93.21,1,2.0,0.41,0,1.0
8866,2,17,15,1,0,25.69,84.39,1,2.0,0.47,0,1.0
8867,2,6,7,1,0,32.17,543.37,1,2.0,0.51,0,0.0
8868,2,19,13,1,0,21.28,65.86,1,2.0,0.51,0,1.0
8869,2,20,15,0,0,25.03,157.89,1,2.0,0.46,0,1.0
8870,2,21,17,1,0,29.79,128.94,1,2.0,0.49,0,0.0
8871,2,26,12,1,0,19.29,52.41,1,2.0,0.46,0,1.0
8872,2,24,21,1,0,27.73,115.89,1,2.0,0.49,0,1.0
8873,2,16,14,1,0,25.3,79.37,1,2.0,0.46,0,1.0
8874,2,17,13,1,0,24.77,68.1,1,2.0,0.52,0,1.0
8875,2,10,9,1,0,22.11,88.31,1,2.0,0.5,0,1.0
8876,3,13,8,1,0,20.0,155.08,1,3.0,0.49,0,1.0
8877,3,21,22,1,0,21.77,184.76,1,3.0,0.45,1,1.0
8878,3,15,14,1,0,20.55,164.9,1,3.0,0.51,0,0.0
8879,3,8,7,1,0,26.6,258.84,0,2.0,0.58,0,1.0
8880,3,13,6,1,0,21.0,110.58,1,2.0,0.58,1,1.0
8881,3,34,16,1,0,18.64,110.22,1,3.0,0.47,0,1.0
8882,3,19,11,1,0,22.2,98.09,1,3.0,0.51,0,1.0
8883,3,10,3,1,0,31.46,299.56,1,1.0,0.52,0,1.0
8884,3,11,7,1,0,21.11,120.89,1,2.0,0.54,0,1.0
8885,3,17,7,1,0,21.92,105.0,0,2.0,0.49,0,1.0
8886,3,32,30,1,0,21.82,162.52,1,3.0,0.46,0,1.0
8887,3,18,10,1,0,18.67,47.14,1,2.0,0.53,0,1.0
8888,3,21,13,1,0,21.17,65.6,1,3.0,0.5,0,1.0
8889,3,16,14,1,0,23.66,105.84,1,3.0,0.5,0,1.0
8890,2,13,15,1,0,25.48,240.93,1,2.0,0.48,0,1.0
8891,2,12,13,1,0,25.16,244.64,1,2.0,0.57,0,0.0
8892,2,9,7,1,0,24.38,124.29,1,2.0,0.56,0,1.0
8893,2,12,18,1,0,26.3,270.27,1,2.0,0.42,0,2.0
8894,2,12,14,1,0,29.26,143.95,1,2.0,0.57,0,1.0
8895,2,18,15,1,0,24.09,100.14,1,2.0,0.5,1,1.0
8896,2,11,15,1,0,26.35,160.19,1,2.0,0.56,0,1.0
8897,2,12,13,1,0,24.92,117.15,1,2.0,0.54,0,1.0
8898,2,14,6,1,0,24.6,79.39,0,2.0,0.47,0,2.0
8899,2,11,9,1,0,23.85,50.55,1,2.0,0.42,0,1.0
8900,2,13,18,1,0,27.67,102.93,1,2.0,0.52,0,1.0
8901,2,9,12,1,0,28.0,113.0,1,2.0,0.56,0,0.0
8902,2,25,23,1,0,22.94,107.29,1,2.0,0.49,0,1.0
8903,2,24,11,1,0,21.2,52.29,1,2.0,0.45,0,1.0
8904,2,11,10,1,0,23.31,103.99,1,3.0,0.5,1,1.0
8905,2,16,14,1,0,20.14,82.41,1,3.0,0.51,0,1.0
8906,2,23,11,1,0,14.35,41.76,1,2.0,0.66,0,1.0
8907,2,14,16,1,0,23.63,61.19,1,3.0,0.54,0,1.0
8908,2,14,11,0,0,17.2,49.76,1,2.0,0.64,0,1.0
8909,2,7,8,1,0,22.27,58.5,1,2.0,0.63,0,1.0
8910,2,32,19,1,0,18.49,51.8,1,3.0,0.54,0,1.0
8911,2,9,10,1,0,20.26,31.07,1,2.0,0.67,0,1.0
8912,2,17,15,1,0,23.66,56.6,1,3.0,0.52,0,1.0
8913,2,33,14,1,0,19.83,47.72,1,2.0,0.54,1,1.0
8914,2,10,11,1,0,21.33,35.33,1,2.0,0.65,0,1.0
8915,2,15,16,1,0,29.9,79.08,1,3.0,0.52,0,1.0
8916,2,21,22,1,0,26.65,65.18,1,3.0,0.5,0,1.0
8917,2,21,19,1,0,25.7,77.29,1,3.0,0.52,1,1.0
8918,2,13,19,1,0,24.48,185.66,1,4.0,0.51,2,0.0
8919,2,18,20,1,0,21.24,358.7,0,3.0,0.47,1,0.0
8920,2,14,5,0,0,13.63,39.58,1,2.0,0.55,0,1.0
8921,2,10,13,1,0,27.57,246.29,1,3.0,0.58,1,0.0
8922,2,8,5,1,0,18.85,31.37,1,2.0,0.61,0,0.0
8923,2,12,19,1,0,25.84,170.13,1,4.0,0.59,1,0.0
8924,2,12,12,1,0,28.58,126.5,1,3.0,0.61,0,0.0
8925,2,3,5,1,0,24.38,121.21,0,2.0,0.64,0,0.0
8926,2,14,13,1,0,21.45,65.63,1,3.0,0.57,0,0.0
8927,2,22,27,1,0,18.04,49.66,1,3.0,0.46,0,1.0
8928,2,13,24,1,0,22.57,71.85,1,4.0,0.58,0,0.0
8929,2,15,20,1,0,20.71,62.42,0,3.0,0.54,0,1.0
8930,2,15,13,1,0,21.29,40.36,1,3.0,0.62,0,1.0
8931,2,14,16,1,0,21.2,55.52,1,3.0,0.54,0,1.0
8932,2,12,17,1,0,27.31,166.65,1,2.0,0.44,0,0.0
8933,2,13,19,1,0,24.53,91.25,1,2.0,0.52,0,0.0
8934,2,32,19,1,0,16.06,48.81,1,2.0,0.57,0,0.0
8935,2,14,9,1,0,16.96,35.74,1,1.0,0.62,0,0.0
8936,2,18,23,1,0,23.05,106.7,1,2.0,0.52,0,1.0
8937,2,30,17,1,0,16.43,35.26,0,1.0,0.53,0,0.0
8938,2,14,21,1,0,26.37,69.33,1,2.0,0.55,0,0.0
8939,2,29,17,1,0,14.89,32.24,1,1.0,0.59,0,0.0
8940,2,21,15,1,0,22.22,42.24,1,1.0,0.64,0,0.0
8941,2,5,4,1,0,24.2,97.36,1,1.0,0.62,0,0.0
8942,2,14,17,1,0,27.39,69.41,1,2.0,0.6,0,0.0
8943,2,30,12,1,0,14.88,35.73,0,1.0,0.48,0,0.0
8944,2,23,20,1,0,23.16,82.57,1,2.0,0.55,0,0.0
8945,2,17,20,1,0,28.54,102.9,1,2.0,0.54,0,0.0
8946,2,6,3,1,0,18.11,46.72,0,1.0,0.64,0,1.0
8947,2,22,13,1,0,22.45,143.27,1,2.0,0.5,0,1.0
8948,2,16,10,1,0,22.5,50.19,1,2.0,0.61,0,1.0
8949,2,21,13,1,0,19.44,59.88,1,1.0,0.59,0,1.0
8950,2,23,13,1,0,21.16,160.84,1,2.0,0.64,0,1.0
8951,2,20,15,1,0,22.43,43.82,1,2.0,0.58,0,1.0
8952,2,25,11,1,0,22.03,55.31,1,1.0,0.6,0,1.0
8953,2,17,9,1,0,21.35,69.91,1,1.0,0.65,0,1.0
8954,2,17,11,1,0,21.5,106.13,1,2.0,0.56,0,1.0
8955,2,12,9,1,0,25.71,112.36,1,1.0,0.54,0,1.0
8956,2,17,13,1,0,19.4,47.84,1,1.0,0.59,0,1.0
8957,2,35,0,1,0,37.07,0.0,1,0.0,0.32,0,1.0
8958,2,18,14,1,0,24.06,63.09,1,2.0,0.56,0,1.0
8959,2,13,9,1,0,19.05,53.75,1,1.0,0.62,0,1.0
8960,2,18,15,1,0,24.03,122.71,1,3.0,0.5,2,1.0
8961,2,18,4,1,0,20.41,154.06,1,1.0,0.59,0,1.0
8962,2,20,19,1,0,20.59,78.11,1,3.0,0.61,0,1.0
8963,2,17,15,1,0,20.74,56.43,1,2.0,0.61,0,1.0
8964,2,32,16,1,0,16.58,48.45,1,1.0,0.58,0,1.0
8965,2,21,13,1,0,19.82,69.73,1,2.0,0.58,0,1.0
8966,2,17,13,1,0,44.03,11.97,1,2.0,0.58,0,1.0
8967,2,17,14,1,0,32.35,89.13,1,2.0,0.54,0,1.0
8968,2,34,26,1,0,35.24,102.26,1,2.0,0.55,0,1.0
8969,2,6,4,1,0,19.4,56.84,1,1.0,0.68,0,1.0
8970,2,34,24,1,0,20.79,68.9,1,1.0,0.6,0,1.0
8971,2,20,12,1,0,26.09,70.04,1,1.0,0.58,0,1.0
8972,2,20,8,0,0,15.46,11.99,1,1.0,0.53,0,1.0
8973,2,17,20,1,0,31.54,53.46,1,3.0,0.61,0,1.0
8974,2,13,13,1,0,30.96,364.91,1,3.0,0.45,0,1.0
8975,2,15,17,1,0,26.75,112.64,1,3.0,0.45,0,1.0
8976,2,20,17,0,0,23.08,264.46,1,2.0,0.49,0,1.0
8977,2,13,9,1,0,23.68,67.39,1,2.0,0.57,0,1.0
8978,2,5,4,1,0,29.4,47.84,1,2.0,0.57,0,0.0
8979,2,15,14,1,0,27.83,83.54,1,3.0,0.54,2,0.0
8980,2,21,18,1,0,24.56,64.6,1,2.0,0.53,0,1.0
8981,2,13,6,1,0,26.37,54.8,1,2.0,0.64,0,1.0
8982,2,21,13,1,0,31.11,73.72,1,2.0,0.55,0,1.0
8983,2,15,16,1,0,31.03,49.38,1,3.0,0.54,0,1.0
8984,2,17,10,1,0,20.85,30.83,1,2.0,0.64,0,1.0
8985,2,17,11,1,0,25.41,33.88,1,2.0,0.61,0,1.0
8986,2,20,15,1,0,24.94,38.87,1,2.0,0.58,0,1.0
8987,2,23,13,1,0,22.03,77.45,1,2.0,0.53,0,1.0
8988,2,16,15,1,0,25.29,125.67,1,2.0,0.5,1,1.0
8989,2,26,28,1,0,22.52,233.59,1,2.0,0.47,0,1.0
8990,2,11,6,0,0,19.29,72.34,1,1.0,0.61,0,1.0
8991,2,38,30,1,0,20.97,184.97,1,2.0,0.46,1,1.0
8992,2,36,30,1,0,23.11,180.77,1,2.0,0.47,3,1.0
8993,2,24,23,1,0,23.87,88.49,1,2.0,0.54,0,1.0
8994,2,34,30,1,0,25.31,95.97,1,2.0,0.47,2,1.0
8995,2,42,30,1,0,20.54,104.18,1,2.0,0.53,1,1.0
8996,2,17,15,1,0,25.53,108.28,1,2.0,0.57,1,1.0
8997,2,14,16,1,0,24.83,85.42,1,2.0,0.62,1,1.0
8998,2,13,18,1,0,29.48,154.46,1,2.0,0.54,0,1.0
8999,2,11,7,0,0,20.28,51.4,1,1.0,0.58,0,1.0
9000,2,24,22,1,0,23.3,92.14,1,2.0,0.53,0,1.0
9001,2,13,11,1,0,23.67,57.69,1,2.0,0.59,0,1.0
9002,2,13,14,1,0,21.93,814.34,1,2.0,0.43,1,1.0
9003,2,10,6,1,0,20.0,108.18,1,1.0,0.58,0,0.0
9004,2,11,9,1,0,26.65,329.23,1,1.0,0.47,0,0.0
9005,2,20,13,1,0,21.61,229.09,1,1.0,0.47,0,1.0
9006,2,26,23,1,0,24.76,443.5,1,1.0,0.38,5,0.0
9007,2,20,16,1,0,22.56,474.71,1,1.0,0.45,1,1.0
9008,2,15,15,1,0,25.27,255.55,1,2.0,0.54,0,0.0
9009,2,12,11,1,0,25.78,234.78,1,1.0,0.54,0,1.0
9010,2,20,27,1,0,27.53,291.89,1,2.0,0.44,0,1.0
9011,2,16,7,1,0,22.09,225.66,1,1.0,0.47,0,1.0
9012,2,21,18,1,0,24.26,153.18,1,1.0,0.43,0,1.0
9013,2,15,17,1,0,26.62,235.22,1,1.0,0.53,0,1.0
9014,2,22,16,1,0,22.68,200.24,1,1.0,0.57,0,1.0
9015,2,24,15,1,0,22.38,131.88,1,1.0,0.54,1,0.0
9016,2,10,7,1,0,27.75,403.67,1,2.0,0.43,0,1.0
9017,2,16,15,1,0,22.59,252.84,1,2.0,0.46,0,1.0
9018,2,15,4,0,0,19.74,303.36,1,1.0,0.57,0,1.0
9019,2,16,15,1,0,32.52,242.19,1,2.0,0.43,1,1.0
9020,2,7,3,1,0,28.4,163.84,0,1.0,0.57,0,0.0
9021,2,21,8,1,0,19.1,76.62,1,1.0,0.54,0,1.0
9022,2,12,8,1,0,23.4,109.56,1,1.0,0.58,0,0.0
9023,2,20,15,1,0,26.09,186.41,1,2.0,0.52,0,1.0
9024,2,17,11,1,0,29.29,199.5,1,2.0,0.48,0,1.0
9025,2,25,18,1,0,21.42,86.84,1,1.0,0.5,0,1.0
9026,2,14,12,1,0,31.04,157.66,1,2.0,0.55,0,0.0
9027,2,9,13,1,0,22.73,32.39,1,2.0,0.53,0,1.0
9028,2,13,10,1,0,25.22,127.91,1,2.0,0.51,0,1.0
9029,2,20,12,1,0,24.62,93.69,1,2.0,0.53,0,1.0
9030,2,23,19,1,0,21.6,97.0,1,3.0,0.49,1,1.0
9031,2,19,15,1,1,18.9,69.9,1,2.0,0.49,0,1.0
9032,2,17,20,1,0,23.7,61.2,1,3.0,0.56,2,0.0
9033,2,23,15,1,0,19.6,63.1,0,2.0,0.6,1,1.0
9034,2,16,19,1,0,28.9,106.6,1,3.0,0.55,1,1.0
9035,2,16,16,1,0,26.9,89.2,1,2.0,0.54,0,1.0
9036,2,10,13,1,0,28.1,77.9,1,3.0,0.62,0,0.0
9037,2,21,19,1,0,21.7,72.8,1,3.0,0.55,0,1.0
9038,2,9,6,1,0,25.6,48.5,1,2.0,0.66,0,0.0
9039,2,10,11,1,0,21.1,54.9,1,2.0,0.57,0,1.0
9040,2,19,11,0,0,17.8,37.6,1,2.0,0.61,0,1.0
9041,2,10,9,1,0,20.4,33.2,1,2.0,0.62,0,1.0
9042,2,22,24,1,0,26.1,73.5,1,3.0,0.56,0,1.0
9043,2,21,13,1,0,18.1,58.2,1,2.0,0.56,0,1.0
9044,2,15,11,1,0,20.69,128.76,1,2.0,0.5,0,0.0
9045,2,22,21,1,0,21.51,141.25,1,2.0,0.53,0,0.0
9046,2,16,21,1,0,22.11,98.46,1,2.0,0.45,0,0.0
9047,2,12,11,1,0,26.96,78.58,1,2.0,0.57,0,0.0
9048,2,14,14,1,0,29.54,101.59,1,2.0,0.55,1,0.0
9049,2,46,21,1,0,11.0,40.06,1,2.0,0.5,0,1.0
9050,2,14,14,1,0,30.57,85.88,1,2.0,0.53,1,0.0
9051,2,16,14,1,0,22.93,46.17,1,2.0,0.5,0,0.0
9052,2,3,6,1,0,41.13,186.75,1,2.0,0.6,0,0.0
9053,2,20,9,1,0,15.76,31.38,1,2.0,0.54,0,0.0
9054,2,13,13,1,0,33.58,71.0,1,2.0,0.57,0,0.0
9055,2,18,16,1,0,23.03,56.5,1,2.0,0.58,0,0.0
9056,2,20,15,1,0,28.63,66.72,1,2.0,0.54,0,0.0
9057,2,13,14,1,0,28.26,67.5,1,2.0,0.58,0,0.0
9058,2,38,28,1,1,15.53,148.54,0,2.0,0.39,1,1.0
9059,2,9,5,1,0,20.5,54.25,1,1.0,0.59,0,0.0
9060,2,31,22,1,0,19.35,120.11,1,2.0,0.51,1,0.0
9061,2,20,5,1,0,12.48,39.04,1,1.0,0.56,0,1.0
9062,2,18,9,1,0,14.33,43.89,1,1.0,0.53,0,0.0
9063,2,30,13,1,0,15.44,87.14,1,1.0,0.49,0,0.0
9064,2,7,5,1,0,20.14,46.29,1,1.0,0.58,0,0.0
9065,2,17,12,1,0,27.55,158.97,1,2.0,0.56,0,0.0
9066,2,17,10,1,0,24.0,138.07,1,1.0,0.54,0,0.0
9067,2,14,7,1,0,27.14,105.65,1,2.0,0.59,0,1.0
9068,2,30,13,1,0,21.07,98.61,1,1.0,0.51,0,0.0
9069,2,14,10,1,0,25.58,99.47,1,2.0,0.54,0,0.0
9070,2,14,8,1,0,18.05,39.64,1,1.0,0.58,0,0.0
9071,2,15,11,1,0,23.27,62.91,1,1.0,0.56,0,1.0
9072,2,12,16,1,0,30.69,630.48,1,2.0,0.41,0,1.0
9073,2,13,11,1,0,25.26,110.87,1,2.0,0.56,0,1.0
9074,2,14,15,1,0,26.07,101.4,1,2.0,0.6,0,1.0
9075,2,12,11,1,0,30.43,378.0,1,2.0,0.53,0,1.0
9076,2,15,11,1,0,21.73,97.2,1,1.0,0.57,1,1.0
9077,2,14,14,1,0,24.07,103.93,1,2.0,0.55,0,1.0
9078,2,13,11,1,0,30.75,140.75,1,2.0,0.56,0,1.0
9079,2,22,12,1,0,19.76,71.58,1,1.0,0.56,0,1.0
9080,2,10,9,1,0,30.68,106.18,1,2.0,0.62,0,1.0
9081,2,17,7,1,0,23.77,50.02,1,1.0,0.55,0,1.0
9082,2,15,13,1,0,33.11,109.73,1,2.0,0.52,0,1.0
9083,2,17,15,1,0,23.06,48.1,1,1.0,0.54,0,1.0
9084,2,13,16,1,0,30.0,93.12,1,2.0,0.64,0,0.0
9085,2,21,13,1,0,21.35,40.11,1,1.0,0.55,0,1.0
